Search parameters {'num_hidden': 9, 'size_layer': 298, 'learning_rate': 0.020795986876227215, 'dropout_rate': 0.7630999811456056}	 stop after 400 iteration with train cost	0.387098	 test cost	1.237667	 train acc	0.853465	 test acc	0.401618
Search parameters {'num_hidden': 9, 'size_layer': 269, 'learning_rate': 0.17085995078689586, 'dropout_rate': 0.6299509651463874}	 stop after 400 iteration with train cost	0.391759	 test cost	1.215722	 train acc	0.851360	 test acc	0.398584
Search parameters {'num_hidden': 7, 'size_layer': 325, 'learning_rate': 0.08857557084670069, 'dropout_rate': 0.6661493512583269}	 stop after 400 iteration with train cost	0.384747	 test cost	1.238023	 train acc	0.854353	 test acc	0.378969
Search parameters {'num_hidden': 11, 'size_layer': 252, 'learning_rate': 0.1067463841814745, 'dropout_rate': 0.7524428286650989}	 stop after 400 iteration with train cost	0.387489	 test cost	1.247371	 train acc	0.853719	 test acc	0.365217
Search parameters {'num_hidden': 8, 'size_layer': 339, 'learning_rate': 0.0842167371157887, 'dropout_rate': 0.75208984650846}	 stop after 400 iteration with train cost	0.384013	 test cost	1.229877	 train acc	0.855342	 test acc	0.372093
Search parameters {'num_hidden': 9, 'size_layer': 297, 'learning_rate': 0.1867070613730602, 'dropout_rate': 0.6170036445492414}	 stop after 400 iteration with train cost	0.387864	 test cost	1.260368	 train acc	0.854048	 test acc	0.366734
Search parameters {'num_hidden': 9, 'size_layer': 259, 'learning_rate': 0.14518675617748902, 'dropout_rate': 0.8272705539091725}	 stop after 400 iteration with train cost	0.383175	 test cost	1.225214	 train acc	0.855190	 test acc	0.373205
Search parameters {'num_hidden': 8, 'size_layer': 326, 'learning_rate': 0.1385307939248904, 'dropout_rate': 0.6845809070037966}	 stop after 400 iteration with train cost	0.384352	 test cost	1.237873	 train acc	0.854860	 test acc	0.368453
Search parameters {'num_hidden': 10, 'size_layer': 278, 'learning_rate': 0.12644770131908556, 'dropout_rate': 0.7716205114317888}	 stop after 400 iteration with train cost	0.384449	 test cost	1.232632	 train acc	0.854657	 test acc	0.365824
Search parameters {'num_hidden': 9, 'size_layer': 265, 'learning_rate': 0.14964487389993456, 'dropout_rate': 0.8298909025532911}	 stop after 400 iteration with train cost	0.383791	 test cost	1.232975	 train acc	0.855088	 test acc	0.355814
Search parameters {'num_hidden': 7, 'size_layer': 342, 'learning_rate': 0.07424523187177819, 'dropout_rate': 0.7400997547823502}	 stop after 400 iteration with train cost	0.384515	 test cost	1.247510	 train acc	0.854277	 test acc	0.366633
